Iteration,Loss
0,0.006314249844160201
1,0.005550108262992653
2,0.005506005906347518
3,0.005506005906347518
4,0.005506005906347518
5,0.005506005906347518
6,0.005449360570377835
7,0.00542207275538813
8,0.00542207275538813
9,0.00542207275538813
10,0.00542207275538813
11,0.00542207275538813
12,0.00542207275538813
13,0.005418934263077841
14,0.005416138969651061
15,0.005416138969651061
16,0.005414982086239575
17,0.0054144883393315935
18,0.005414237736769555
19,0.005414046064483306
20,0.005414046064483306
21,0.005414046064483306
22,0.005413653631650489
23,0.005413653631650489
24,0.005413585254654359
25,0.005413585254654359
26,0.005413585254654359
27,0.005413554156465741
28,0.0054135454385725945
29,0.0054135454385725945
30,0.0054135454385725945
31,0.005413543582352289
32,0.005413543582352289
33,0.005413543582352289
34,0.005413543582352289
35,0.005413542710876104
36,0.00541354244904371
37,0.00541354244904371
38,0.0054135424248865985
39,0.0054135424248865985
40,0.0054135424248865985
41,0.0054135424248865985
42,0.005413542418169933
43,0.005413542417216662
44,0.005413542416106131
45,0.005413542416106131
46,0.005413542415992122
47,0.0054135424155349
48,0.005413542415396038
49,0.005413542415223148
50,0.0054135424152230716
51,0.0054135424152230716
52,0.005413542415220085
53,0.005413542415212127
54,0.005413542415210261
55,0.0054135424152098235
56,0.005413542415208842
57,0.0054135424152071615
58,0.0054135424152071615
59,0.0054135424152071615
60,0.005413542415206995
