Iteration,Duration_Seconds
1,7.8193
2,0.0464
3,0.0641
4,0.0528
5,0.0474
6,0.0476
7,0.0630
8,0.0528
9,0.0509
10,0.0472
11,0.0475
12,0.0632
13,0.0476
14,0.0474
15,0.0631
16,0.0473
17,0.0475
18,0.0638
19,0.0426
20,0.0473
21,0.0688
22,0.0535
23,0.0491
24,0.0568
25,0.0523
26,0.0397
27,0.0631
28,0.0479
29,0.0551
30,0.0521
31,0.0465
32,0.0638
33,0.0383
34,0.0631
35,0.0474
36,0.0599
37,0.0461
38,0.0520
39,0.0482
40,0.0476
41,0.0498
42,0.0453
43,0.0475
44,0.0478
45,0.0474
46,0.0661
47,0.0481
48,0.0476
49,0.0543
50,0.0466
51,0.0629
52,0.0478
53,0.0473
54,0.0638
55,0.0473
56,0.0474
57,0.0636
58,0.0476
59,0.0589
60,0.0470
61,0.0473
